ts,ip,user,pw,cmd
"2025-10-23 12:41:57,529",127.0.0.1,username,password,
"2025-10-23 12:42:02,249",127.0.0.1,,,wha\x7foami
"2025-10-23 12:42:05,396",127.0.0.1,,,whoami
"2025-11-06 18:49:45,168",127.0.0.1,username,,
"2025-11-06 18:50:08,778",127.0.0.1,,,whoami
"2025-11-06 18:50:10,541",127.0.0.1,,,ls
"2025-11-06 18:50:22,117",127.0.0.1,,,cat jumpbox.cong\x7ff
"2025-11-06 18:50:25,611",127.0.0.1,,,w\x7f\x7fexit
"2025-11-06 18:50:27,815",127.0.0.1,,,exit
"2025-11-06 18:50:54,669",127.0.0.1,username,,
"2025-11-06 18:51:00,108",127.0.0.1,,,car\x7ft \x7f\x7f\x7f\x7f\x7f
"2025-11-06 18:51:06,469",127.0.0.1,,,cat jumpbox.conf
"2025-11-06 18:51:08,943",127.0.0.1,,,exit
